borough,zipcode,total_population,white,black_or_african_american,american_indian_alaska_native,asian,native_hawaiian_other_pacific,some_other_race,two_or_more_races,hispanic_origin,total_housing_units
Borough,ZIPCODES,NA,White,Black/ African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manhattan,10001,17310,9166,1439,38,2641,5,72,464,3485,9806
Manhattan,10002,84870,13371,5184,111,41658,20,272,1550,22704,32965
Manhattan,10003,53673,39367,2209,61,6447,56,238,1234,4061,31154
Manhattan,10004,1225,861,69,0,150,4,14,48,79,779
Manhattan,10005,884,559,28,0,202,0,4,26,65,562
Manhattan,10006,1447,1074,94,0,130,2,12,39,96,978
Manhattan,10007,3522,2058,351,3,374,2,16,91,627,1333
Manhattan,10009,58595,28256,5001,105,5886,21,241,1384,17701,30199
Manhattan,10010,26408,19252,1488,18,2628,13,77,566,2366,16648
Manhattan,10011,46669,34790,2237,58,2851,25,197,850,5661,30277
Manhattan,10012,26000,17868,694,25,4718,12,96,650,1937,14625
Manhattan,10013,25042,10452,1142,11,11469,5,311,477,1175,11230
Manhattan,10014,32667,27481,855,32,1555,14,108,625,1997,21597
Manhattan,10016,51217,37420,2469,47,6132,24,138,953,4034,33203
Manhattan,10017,16201,11899,540,19,2424,3,73,373,870,12696
Manhattan,10018,4255,1893,276,14,933,3,9,140,987,2299
Manhattan,10019,36012,23037,1823,50,3756,16,147,961,6222,26090
Manhattan,10020,1,1,0,0,0,0,0,0,0,1
Manhattan,10021,102078,87722,1388,43,6517,26,266,1304,4812,69449
Manhattan,10022,30642,26333,357,9,2015,19,78,366,1465,23000
Manhattan,10023,62206,48155,3125,69,4393,28,186,1057,5193,40620
Manhattan,10024,61414,47711,3028,43,2596,20,232,971,6813,35838
Manhattan,10025,97086,50169,13310,157,6195,38,504,2338,24375,48391
Manhattan,10026,30377,1226,21221,116,551,1,85,825,6352,13632
Manhattan,10027,56168,9961,28669,182,3198,45,158,1338,12617,25625
Manhattan,10028,44987,39570,546,17,2242,12,94,639,1867,28014
Manhattan,10029,75390,5762,21845,131,2600,11,304,1329,43408,29068
Manhattan,10030,25847,331,20281,72,184,8,47,620,4304,12934
Manhattan,10031,60221,1776,20380,162,676,11,195,1139,35882,22778
Manhattan,10032,63842,3802,11372,202,1768,17,169,933,45579,21831
Manhattan,10033,58259,10630,2361,114,944,16,181,739,43274,20012
Manhattan,10034,41756,6468,2921,78,692,12,158,564,30863,15660
Manhattan,10035,32702,1276,14160,92,282,8,58,489,16337,12054
Manhattan,10036,18751,10549,2034,54,1537,15,103,592,3867,11618
Manhattan,10037,16984,138,14584,45,77,7,15,260,1858,9033
Manhattan,10038,15574,6104,1259,22,4934,3,85,364,2803,6938
Manhattan,10039,21737,176,16491,65,129,5,24,471,4376,9827
Manhattan,10040,46599,7397,2003,113,875,7,220,549,35435,16676
Manhattan,10041,0,0,0,0,0,0,0,0,0,0
Manhattan,10044,9520,4210,2488,12,1018,15,60,350,1367,3252
Manhattan,10048,55,6,27,0,18,0,0,0,4,0
Manhattan,10069,1403,921,55,0,261,2,8,12,144,1379
Manhattan,10103,0,0,0,0,0,0,0,0,0,0
Manhattan,10111,0,0,0,0,0,0,0,0,0,0
Manhattan,10112,0,0,0,0,0,0,0,0,0,0
Manhattan,10115,0,0,0,0,0,0,0,0,0,0
Manhattan,10119,0,0,0,0,0,0,0,0,0,0
Manhattan,10128,59856,46760,2617,57,3985,18,208,997,5214,34643
Manhattan,10152,0,0,0,0,0,0,0,0,0,0
Manhattan,10153,0,0,0,0,0,0,0,0,0,0
Manhattan,10154,0,0,0,0,0,0,0,0,0,0
Manhattan,10162,1726,1592,14,0,58,0,11,8,43,943
Manhattan,10165,7,7,0,0,0,0,0,0,0,3
Manhattan,10167,0,0,0,0,0,0,0,0,0,0
Manhattan,10169,0,0,0,0,0,0,0,0,0,0
Manhattan,10170,1,0,0,0,1,0,0,0,0,1
Manhattan,10171,1,1,0,0,0,0,0,0,0,1
Manhattan,10172,0,0,0,0,0,0,0,0,0,0
Manhattan,10173,0,0,0,0,0,0,0,0,0,0
Manhattan,10177,0,0,0,0,0,0,0,0,0,0
Manhattan,10271,0,0,0,0,0,0,0,0,0,0
Manhattan,10278,0,0,0,0,0,0,0,0,0,0
Manhattan,10279,0,0,0,0,0,0,0,0,0,0
Manhattan,10280,6614,4698,185,1,1256,3,26,120,325,4623
Manhattan,10282,1574,1130,57,4,204,0,11,38,130,879
Staten Island,10301,38805,19271,8542,96,2544,8,130,1124,7090,15561
Staten Island,10302,16406,8411,2879,24,451,5,38,387,4211,5842
Staten Island,10303,23530,7510,7386,71,1186,2,83,793,6499,7904
Staten Island,10304,38972,17220,11042,89,2287,19,117,1011,7187,14056
Staten Island,10305,38450,28577,1183,39,2402,9,82,954,5204,15017
Staten Island,10306,55698,47858,597,57,1852,11,54,608,4661,21548
Staten Island,10307,11669,10633,70,10,254,2,16,65,619,4424
Staten Island,10308,26451,24121,80,11,617,10,19,180,1413,9720
Staten Island,10309,27207,23590,647,14,978,7,12,221,1738,9269
Staten Island,10310,22852,12238,4628,46,862,10,79,549,4440,8571
Staten Island,10312,58867,52332,360,48,2283,12,46,436,3350,20803
Staten Island,10314,84821,64555,2290,94,9070,24,181,1469,7138,31278
Bronx,10451,40961,774,16178,175,525,7,195,569,22538,15553
Bronx,10452,72138,915,21863,228,866,20,478,1090,46678,23726
Bronx,10453,76775,1011,27208,191,704,28,328,1264,46041,25755
Bronx,10454,34976,441,8421,73,99,16,53,262,25611,12679
Bronx,10455,37465,511,8238,81,181,6,89,387,27972,12863
Bronx,10456,76656,911,34957,259,514,24,182,1154,38655,26871
Bronx,10457,69048,1252,21759,282,1250,15,591,1178,42721,23374
Bronx,10458,77840,10590,14830,273,3566,33,557,2208,45783,26766
Bronx,10459,39080,441,10145,106,227,14,113,391,27643,13737
Bronx,10460,53707,1709,15190,135,665,26,212,777,34993,19163
Bronx,10461,49808,29773,1958,83,3777,5,279,991,12942,21194
Bronx,10462,72077,15862,17557,196,5163,20,721,2298,30260,30707
Bronx,10463,57756,27081,6235,81,2887,19,206,1252,19995,25679
Manhattan,10463,7820,487,2021,13,131,0,25,101,5042,2980
Bronx,10464,4634,3879,84,5,153,3,11,85,414,2265
Bronx,10465,42500,27874,2549,38,725,18,103,633,10560,16841
Bronx,10466,68787,3390,47365,171,1491,22,596,2262,13490,25022
Bronx,10467,94342,14288,31534,218,5016,37,682,2887,39680,36387
Bronx,10468,78309,5413,17420,191,3699,36,490,1407,49653,27107
Bronx,10469,63345,12329,35090,123,1722,18,297,1809,11957,23144
Bronx,10470,15780,7890,4914,43,484,2,191,378,1878,6786
Bronx,10471,23413,16217,1825,21,1229,3,101,475,3542,10179
Bronx,10472,64867,2023,16674,293,2629,44,940,1730,40534,23112
Bronx,10473,56166,1628,22222,102,566,28,276,956,30388,20287
Bronx,10474,11354,155,2992,25,31,1,27,53,8070,3785
Bronx,10475,38086,6203,21389,78,356,7,91,698,9264,17677
Queens,11001,3143,1980,31,6,743,0,43,98,242,1151
Queens,11004,14682,8184,597,26,4314,1,64,366,1130,5865
Queens,11005,2195,2105,25,0,25,3,2,24,11,1840
Queens,11040,1681,859,5,3,638,0,0,27,149,599
Queens,11101,25595,6443,6067,93,2643,20,237,954,9138,9866
Queens,11102,36291,13791,3174,111,5313,15,548,2118,11221,14132
Queens,11103,44321,22139,431,67,6189,24,711,3292,11468,18043
Queens,11104,29506,11753,391,61,7200,3,98,1245,8755,12822
Queens,11105,42117,25114,639,80,4401,31,365,2962,8525,17572
Queens,11106,43130,16302,3029,99,7509,4,728,2516,12943,18044
Brooklyn,11201,47746,26745,9265,60,3214,27,254,1315,6866,22428
Brooklyn,11203,84498,1974,75198,151,817,29,381,1839,4109,29242
Brooklyn,11204,74880,52906,192,51,14272,12,295,1739,5413,26696
Brooklyn,11205,35622,4877,17829,99,930,11,205,799,10872,13876
Brooklyn,11206,69032,5281,21829,152,2859,14,546,1064,37287,24080
Brooklyn,11207,86551,1176,52945,259,807,51,376,1709,29228,30331
Brooklyn,11208,87165,3100,34390,482,4547,81,1858,3435,39272,28033
Brooklyn,11209,69840,50480,956,76,6990,32,222,3419,7665,32783
Brooklyn,11210,62308,19087,34885,87,1951,15,353,1471,4459,20811
Brooklyn,11211,85089,43933,2838,87,1814,9,2987,2617,30804,29215
Brooklyn,11212,85161,544,69803,176,506,17,212,2061,11842,30216
Brooklyn,11213,65440,7524,49979,95,353,14,464,1561,5450,24243
Brooklyn,11214,83546,55767,447,63,17512,36,165,2408,7148,32607
Brooklyn,11215,63001,36011,4367,100,3400,34,368,1956,16765,28841
Brooklyn,11216,55775,511,48300,130,633,18,200,1547,4436,24715
Brooklyn,11217,35353,13666,10179,103,1336,11,131,1182,8745,16474
Brooklyn,11218,74611,35635,8898,145,10578,37,847,3848,14623,26433
Brooklyn,11219,85987,57174,659,66,13892,12,1017,2912,10255,27552
Brooklyn,11220,92718,17667,1836,149,26785,22,445,2989,42825,29723
Brooklyn,11221,76363,836,46575,219,643,20,321,1467,26282,28855
Brooklyn,11222,39360,28240,481,41,1468,7,175,1257,7691,16758
Brooklyn,11223,77691,53199,3311,69,11446,13,151,1739,7763,29683
Brooklyn,11224,51205,24899,13695,102,1897,11,135,1245,9221,20883
Brooklyn,11225,63774,4023,51554,136,503,20,418,1400,5720,24366
Brooklyn,11226,106154,3414,80422,212,2905,26,473,3860,14842,37132
Brooklyn,11228,41172,32036,70,34,5176,8,45,1099,2704,16691
Brooklyn,11229,80554,57928,3407,85,11747,23,174,1827,5363,31753
Brooklyn,11230,88933,61642,6932,88,9865,32,467,2575,7332,32695
Brooklyn,11231,32974,17148,5176,58,946,12,136,1170,8328,15695
Brooklyn,11232,27723,4789,1230,91,2918,8,231,715,17741,8908
Brooklyn,11233,61955,478,52053,185,275,22,132,1063,7747,25343
Brooklyn,11234,86898,47682,28427,99,2800,25,295,1520,6050,32460
Brooklyn,11235,77451,56196,1625,76,9794,17,222,2152,7369,33510
Brooklyn,11236,96301,13759,67029,150,3727,18,445,2718,8455,33433
Brooklyn,11237,48910,2259,3350,163,2687,14,541,987,38909,14881
Brooklyn,11238,48965,7274,32364,118,1702,40,304,1556,5607,22862
Brooklyn,11239,14620,4672,6087,37,596,5,66,467,2690,6659
Queens,11354,54329,16794,2177,65,23444,16,163,1410,10260,20372
Queens,11355,83281,14437,3866,152,44808,13,450,2799,16756,29394
Queens,11356,20444,11473,195,48,3125,1,49,573,4980,7540
Queens,11357,39491,30705,130,20,4889,6,40,654,3047,15966
Queens,11358,38647,21560,337,33,9964,4,99,1042,5608,14551
Queens,11360,19350,14323,239,5,3377,1,17,243,1145,9249
Queens,11361,29206,17181,1250,29,6604,7,79,617,3439,11439
Queens,11362,17502,11674,168,9,4157,7,36,263,1188,7230
Queens,11363,6917,4762,27,11,1489,0,10,87,531,2743
Queens,11364,34539,19181,608,24,11328,4,77,647,2670,13972
Queens,11365,41566,19192,4541,43,11295,3,141,1163,5188,16225
Queens,11366,13366,5827,1234,7,4354,9,54,341,1540,4706
Queens,11367,38216,20407,3141,45,6493,6,309,2067,5748,15111
Queens,11368,98841,7919,14727,278,9777,26,612,1863,63639,28554
Queens,11369,36110,3027,11378,79,2400,34,291,1011,17890,11543
Bronx,11370,12780,1091,7741,17,33,22,418,15,3443,0
Queens,11370,30362,10188,286,44,5975,6,220,1405,12238,10325
Queens,11371,0,0,0,0,0,0,0,0,0,0
Queens,11372,71308,15165,1423,135,12124,30,364,1856,40211,25398
Queens,11373,105723,14393,1456,213,40981,33,420,2698,45529,34219
Queens,11374,44189,25429,1032,40,10213,6,163,1515,5791,20298
Queens,11375,70204,45254,1572,54,14026,29,232,1890,7147,34472
Queens,11377,88339,22525,2289,133,26261,22,496,2962,33651,32798
Queens,11378,34053,24617,175,23,2044,5,75,611,6503,13769
Queens,11379,28984,24303,171,32,1154,4,29,449,2842,12163
Queens,11385,97524,50616,1294,91,6004,14,306,2196,37003,36471
Queens,11411,21282,488,19097,43,81,4,69,637,863,6851
Queens,11412,37452,439,34364,91,166,6,137,935,1314,12442
Queens,11413,39827,749,35608,85,221,15,146,1232,1771,13058
Queens,11414,28121,24021,264,12,790,6,41,244,2743,11739
Queens,11415,20956,11505,1307,39,2694,15,214,994,4188,8985
Queens,11416,23668,6221,1364,161,3247,26,1131,1997,9521,7746
Queens,11417,28607,11529,974,175,3900,21,1299,2672,8037,9806
Queens,11418,36571,9127,2813,278,5813,21,1595,2989,13935,11843
Queens,11419,48867,4265,7163,736,11963,35,3848,8923,11934,14005
Queens,11420,45498,5516,15512,441,5753,43,2733,5157,10343,14089
Queens,11421,37664,11971,1488,153,5085,19,914,1620,16414,12758
Queens,11422,30449,3123,22366,68,746,10,305,1153,2678,9849
Queens,11423,31240,3632,13394,301,5158,45,1353,2447,4910,10338
Queens,11426,18727,10237,1006,55,4192,9,187,488,2553,6531
Queens,11427,23014,6195,5372,128,5093,13,769,1461,3983,7949
Queens,11428,21023,3530,5116,165,4321,28,937,1823,5103,6209
Queens,11429,27647,839,22718,48,419,11,201,1064,2347,8168
Queens,11430,229,12,117,2,11,0,11,6,70,13
Queens,11432,57045,10017,12370,262,13891,52,1930,4114,14409,19174
Queens,11433,28435,237,23936,132,514,5,280,999,2332,10025
Queens,11434,59142,792,52918,167,399,24,230,1394,3218,20918
Queens,11435,53877,8876,16914,263,7701,32,1337,2992,15762,18726
Queens,11436,18148,130,15868,43,194,10,169,524,1210,5946
Queens,11691,56184,12312,27681,168,884,13,526,1717,12883,19424
Queens,11692,15893,1625,10765,60,138,2,139,544,2620,5656
Queens,11693,11157,5883,3117,21,218,0,49,247,1622,4607
Queens,11694,19278,15855,1109,18,438,6,19,169,1664,9038
Queens,11697,4226,4147,5,1,12,3,1,5,52,2915
